      eigenvector1:        eigenvector2:           eigenvector3:
         0.017178053        0.0010557234        0.0088918773
         0.018917843        0.0037876880        0.0036854401
        0.0093079612         0.016078432         0.019204391
         0.012658687         0.019381929         0.018859946
        0.0021180415        0.0045055043        0.0073965345
        0.0016036457         0.016329810        0.0058952203
       0.00014222039         0.019479059       0.00056486282
         0.018474092         0.017396721        0.0055768498
         0.018948354         0.015090523        0.0026707719
        0.0063185437        0.0076668856         0.017220166
         0.011981428        0.0010427703         0.018861757
        0.0042245903        0.0086738097         0.013524773
         0.016077820         0.019209917         0.011428021
         0.013577672       0.00023974043         0.017164169
        0.0048836703        0.0099950700         0.014711457
       0.00080997475        0.0017985058        0.0031384789
       0.00055865951        0.0012472467        0.0021932999
        0.0087114138        0.0042973263         0.019541822
         0.019625009        0.0081319223       0.00026672007
         0.019773559         0.012632284       0.00064180249
        0.0058147759         0.011249794         0.016054033
         0.011181784        0.0017013595         0.019522679
        0.0071328324        0.0063844017         0.018238779
         0.015990167         0.019909338         0.012960629
         0.012894122         0.019041129         0.017359731
       3.0966480E-05         0.019733689       0.00012364025
         0.016307708       0.00038666839         0.011334888
        0.0023014972        0.0049498960        0.0082551931
         0.019681000        0.0099445963       9.7821118E-07
         0.017569002        0.0013558098        0.0081467258
       0.00085395330         0.017906300        0.0032685942
        0.0076903807         0.014306939         0.019225374
       0.00084155241        0.0018589496        0.0032203718
        0.0041501792         0.011343598         0.013124831
        0.0095484655        0.0032576953         0.019742545
         0.013837140         0.019907190         0.017293675
        0.0081085954         0.014610290         0.018673724
         0.019888151        0.0089134469       9.7300241E-05
        0.0029400531         0.013594287         0.010012829
       0.00024405295       0.00054758245       0.00096965361
         0.017754222         0.017695529        0.0066969957
       0.00052800042         0.018633842        0.0020555800
         0.018566661        0.0032686052        0.0043360530
         0.010187611         0.017367305         0.020300615
         0.016970401         0.018605744        0.0090455778
         0.015751465       0.00011759704         0.013037554
        0.0021213947         0.015233035        0.0075760563
        0.0053184338         0.010609143         0.015851774
        0.0037757009        0.0077173124         0.011954294
        0.0023393175         0.014819706        0.0082524454
         0.014281714       4.1114828E-05         0.015812699
         0.019486486         0.014389815        0.0018069598
        0.0047553176        0.0094746130         0.014132000
         0.018307989        0.0024398391        0.0057882721
        0.0083290317        0.0047314739         0.019279360
       1.0498380E-05       2.3768794E-05       4.2624258E-05
         0.015090434         0.019487803         0.013697823
       0.00099678239         0.017616054        0.0037863559
         0.017934913        0.0020277719        0.0065104524
         0.017764072         0.018540741        0.0079516621
         0.019585423         0.011749924       0.00033396328
         0.014701133       5.4433738E-06         0.015266820
       0.00042498083         0.018847852        0.0016635425
        0.0089327116         0.015945066         0.020078041
        0.0010948557        0.0023922520        0.0040807200
        0.0074958777        0.0059127863         0.018650467
         0.013157309       0.00037765140         0.017572727
         0.019908089         0.010785403       6.0615773E-05
        0.0069382186         0.012981742         0.017600527
         0.019714193        0.0070814410       0.00074758110
        0.0059784088        0.0081593942         0.016684389
       9.9608329E-09       2.2859035E-08       4.1771821E-08
         0.011719418         0.018333918         0.018529733
       0.00020443346         0.019347940       0.00080921249
         0.019418190        0.0063749098        0.0011168737
         0.014953315         0.020084661         0.015285239
         0.018417007         0.016510243        0.0045272417
         0.012398476       0.00081183576         0.018612518
        0.0014223909         0.016687220        0.0052808214
        0.0032141461        0.0067665909         0.010943119
        0.0014975827        0.0032329116        0.0054206233
        0.0051975562        0.0094984294         0.015339523
         0.019063616        0.0047347337        0.0025010992
         0.016931872         0.019388358         0.010464576
         0.010517814         0.017334471         0.019156498
         0.019389044        0.0053529123        0.0019693688
       1.0161742E-05         0.019777850       4.0644455E-05
        0.0064795101         0.012508105         0.017789308
        0.0028907570        0.0060386485        0.0096566294
        0.0031925270         0.013138160         0.010712869
         0.010772245        0.0020138707         0.019600287
         0.011435953         0.018525847         0.019884550
         0.019339896         0.013485265        0.0012431739
         0.016712391       0.00057282204         0.010614173
        0.0038656115         0.011827873         0.012441091
        0.0014983305        0.0032802556        0.0056109096
         0.014023657         0.019430580         0.015716019
         0.019051144         0.015996694        0.0034859973
         0.015337276       4.4331627E-05         0.013689962
        0.0099464033        0.0028769444         0.019838814
